
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   6292 Services                   0     13,416 K
svchost.exe                  10772 Services                   0     10,836 K
SearchIndexer.exe             7428 Services                   0     36,568 K
WmiPrvSE.exe                  1456 Services                   0     20,940 K
svchost.exe                   5760 Services                   0     15,492 K
sihost.exe                    4184 Console                    1     30,620 K
svchost.exe                  10504 Console                    1     18,904 K
svchost.exe                   9792 Console                    1      8,052 K
svchost.exe                  10928 Console                    1     33,688 K
svchost.exe                   9688 Services                   0     19,460 K
taskhostw.exe                 8068 Console                    1     20,808 K
explorer.exe                  9348 Console                    1    207,140 K
svchost.exe                   5032 Services                   0      8,796 K
svchost.exe                   5664 Console                    1     31,892 K
SearchHost.exe                7152 Console                    1    111,072 K
StartMenuExperienceHost.e    10668 Console                    1     95,652 K
RuntimeBroker.exe             7628 Console                    1     31,384 K
RuntimeBroker.exe            11304 Console                    1     36,652 K
svchost.exe                  11320 Services                   0     12,788 K
svchost.exe                  11408 Console                    1     16,968 K
Widgets.exe                  11472 Console                    1     53,368 K
dllhost.exe                  12280 Console                    1     13,856 K
PhoneExperienceHost.exe      12416 Console                    1    136,048 K
SecurityHealthSystray.exe    13092 Console                    1      9,280 K
SecurityHealthService.exe    13112 Services                   0     18,160 K
ctfmon.exe                   13172 Console                    1     27,112 K
chrome.exe                   13268 Console                    1    395,828 K
chrome.exe                   13284 Console                    1      8,340 K
chrome.exe                    8056 Console                    1    187,084 K
chrome.exe                    7244 Console                    1     59,856 K
chrome.exe                   12676 Console                    1     25,316 K
chrome.exe                   13836 Console                    1     73,276 K
chrome.exe                   13904 Console                    1     54,384 K
TextInputHost.exe            14316 Console                    1     99,336 K
RtkAudUService64.exe         12816 Console                    1      9,492 K
PadvishUI.exe                13264 Console                    1     29,524 K
vmware-tray.exe              14680 Console                    1     10,672 K
OneDrive.exe                 14752 Console                    1     67,176 K
svchost.exe                  14908 Services                   0      7,744 K
chrome.exe                    9604 Console                    1     33,504 K
chrome.exe                   10276 Console                    1     21,812 K
Postman Agent.exe             2392 Console                    1     53,808 K
Postman Agent.exe            15536 Console                    1     54,248 K
Postman Agent.exe            15552 Console                    1     41,788 K
com.docker.backend.exe       15808 Console                    1     52,668 K
conhost.exe                  15816 Console                    1      5,704 K
com.docker.backend.exe       15920 Console                    1    147,444 K
com.docker.build.exe         16240 Console                    1     33,976 K
Docker Desktop.exe           16068 Console                    1     86,368 K
Docker Desktop.exe           16200 Console                    1     62,500 K
Docker Desktop.exe           16344 Console                    1     44,212 K
vmwp.exe                     16884 Services                   0     18,748 K
vmmemWSL                     16836 Services                   0    418,976 K
dllhost.exe                  16456 Console                    1      7,496 K
dllhost.exe                  19028 Console                    1      8,276 K
wslrelay.exe                 19216 Console                    1      7,080 K
wsl.exe                      19276 Console                    1      5,716 K
wsl.exe                      19284 Console                    1      5,704 K
wsl.exe                      19336 Console                    1      8,832 K
wsl.exe                      19344 Console                    1      8,788 K
wslhost.exe                  14940 Console                    1      8,344 K
conhost.exe                  19064 Console                    1      7,536 K
wslhost.exe                  18712 Console                    1      8,032 K
wslhost.exe                  19224 Console                    1      7,876 K
conhost.exe                  19192 Console                    1      7,528 K
wslhost.exe                  16668 Console                    1      7,884 K
conhost.exe                  19416 Console                    1      7,524 K
conhost.exe                  19332 Console                    1      7,532 K
msrdc.exe                    16676 Console                    1     35,896 K
chrome.exe                   18200 Console                    1     60,716 K
chrome.exe                   20308 Console                    1    412,408 K
chrome.exe                   20468 Console                    1     78,936 K
chrome.exe                   11468 Console                    1    122,752 K
msedge.exe                   15356 Console                    1    139,320 K
msedge.exe                   14624 Console                    1      9,992 K
msedge.exe                    5200 Console                    1     34,376 K
msedge.exe                   17316 Console                    1     37,456 K
msedge.exe                   20284 Console                    1     18,012 K
msedge.exe                   20520 Console                    1     34,284 K
chrome.exe                   20980 Console                    1     47,768 K
chrome.exe                   21012 Console                    1     48,092 K
chrome.exe                   21084 Console                    1     48,632 K
chrome.exe                   21300 Console                    1    163,136 K
chrome.exe                   21476 Console                    1    349,348 K
chrome.exe                   21488 Console                    1     73,172 K
klc.exe                      20944 Console                    1     12,604 K
chrome.exe                   17932 Console                    1     47,228 K
chrome.exe                   17992 Console                    1    207,792 K
chrome.exe                   22024 Console                    1     98,840 K
chrome.exe                   22236 Console                    1     43,208 K
chrome.exe                   22244 Console                    1     53,732 K
jusched.exe                  21596 Console                    1      8,448 K
chrome.exe                   14448 Console                    1     43,564 K
msedge.exe                   18344 Console                    1     73,260 K
msedge.exe                   13808 Console                    1     27,192 K
svchost.exe                  14432 Services                   0     17,800 K
chrome.exe                   21468 Console                    1     71,296 K
WidgetService.exe            21364 Console                    1     21,428 K
msedgewebview2.exe           13560 Console                    1      9,264 K
msedgewebview2.exe           15828 Console                    1      9,848 K
msedgewebview2.exe           18256 Console                    1      3,876 K
msedgewebview2.exe           16640 Console                    1      4,372 K
msedgewebview2.exe            9896 Console                    1         20 K
msedgewebview2.exe            9820 Console                    1        428 K
svchost.exe                  20540 Services                   0      7,040 K
ShellExperienceHost.exe       2004 Console                    1    122,936 K
RuntimeBroker.exe            20748 Console                    1     31,884 K
mscopilot_proxy.exe          18112 Console                    1     10,032 K
dllhost.exe                  18916 Console                    1     10,972 K
dllhost.exe                  19420 Console                    1      9,968 K
dllhost.exe                  17712 Console                    1     15,412 K
svchost.exe                  23792 Console                    1     17,780 K
backgroundTaskHost.exe        5112 Console                    1      1,608 K
svchost.exe                  26436 Console                    1     10,268 K
SystemSettingsBroker.exe     20288 Console                    1     19,728 K
svchost.exe                  24880 Services                   0      7,200 K
svchost.exe                   8272 Console                    1      9,128 K
svchost.exe                  13528 Services                   0     12,356 K
SystemSettings.exe           12372 Console                    1      1,700 K
ApplicationFrameHost.exe     20096 Console                    1     28,940 K
DCProcessMonitor.exe         29316 Services                   0     11,008 K
WmiPrvSE.exe                 30032 Services                   0     57,544 K
OneDrive.Sync.Service.exe    23892 Console                    1     30,480 K
LockApp.exe                   8576 Console                    1     68,044 K
RuntimeBroker.exe            31440 Console                    1     33,408 K
svchost.exe                  31980 Services                   0      9,128 K
RuntimeBroker.exe            36528 Console                    1      7,664 K
dllhost.exe                  33680 Console                    1     11,096 K
chrome.exe                   32124 Console                    1    208,612 K
chrome.exe                    3936 Console                    1     77,932 K
SearchProtocolHost.exe       27284 Services                   0     12,716 K
Code.exe                      4480 Console                    1    205,756 K
Code.exe                     20568 Console                    1    111,568 K
Code.exe                       448 Console                    1    398,276 K
Code.exe                     25400 Console                    1    122,340 K
Code.exe                      8632 Console                    1    660,980 K
Code.exe                      7164 Console                    1    167,880 K
Code.exe                     30020 Console                    1    195,320 K
Code.exe                     25476 Console                    1  1,550,804 K
Code.exe                     18544 Console                    1    169,528 K
Code.exe                       744 Console                    1    151,992 K
Code.exe                      2972 Console                    1    237,576 K
codex.exe                    34272 Console                    1     44,008 K
conhost.exe                  25596 Console                    1     10,680 K
Code.exe                     28940 Console                    1    326,380 K
Code.exe                     31364 Console                    1    121,720 K
kilo.exe                     23324 Console                    1    517,372 K
Code.exe                     23216 Console                    1    128,976 K
Microsoft.CodeAnalysis.La    36164 Console                    1    728,960 K
Microsoft.VisualStudio.Co    35680 Console                    1    128,204 K
conhost.exe                  12316 Console                    1     10,708 K
Microsoft.VisualStudio.Co    22228 Console                    1     82,836 K
conhost.exe                  18308 Console                    1     10,720 K
Microsoft.VisualStudio.Co    27204 Console                    1    417,892 K
Microsoft.VisualStudio.Co    35064 Console                    1    129,112 K
conhost.exe                  33260 Console                    1     10,720 K
conhost.exe                  35320 Console                    1     10,732 K
dotnet.exe                   24644 Console                    1     93,588 K
conhost.exe                  22844 Console                    1     10,820 K
cloudcode_cli.exe            35968 Console                    1     66,224 K
conhost.exe                  16684 Console                    1     10,696 K
language_server_windows_x    30616 Console                    1    110,128 K
conhost.exe                  32532 Console                    1     10,744 K
language_server_windows_x    22656 Console                    1    462,172 K
SearchFilterHost.exe         23616 Services                   0      8,156 K
Code.exe                      2448 Console                    1    207,984 K
Code.exe                     31700 Console                    1    278,448 K
Code.exe                     26700 Console                    1    124,204 K
Code.exe                     34512 Console                    1    138,640 K
Code.exe                     33032 Console                    1    130,004 K
Code.exe                      3820 Console                    1    132,244 K
Code.exe                     36352 Console                    1    132,348 K
Code.exe                     26400 Console                    1    132,284 K
Code.exe                     27872 Console                    1    132,324 K
Code.exe                     35136 Console                    1    134,996 K
Code.exe                     26416 Console                    1    320,268 K
Code.exe                     33992 Console                    1    136,292 K
Code.exe                     30136 Console                    1    158,884 K
Code.exe                     13640 Console                    1    130,284 K
VBCSCompiler.exe             30148 Console                    1    234,360 K
conhost.exe                   1328 Console                    1     10,688 K
dotnet.exe                   33360 Console                    1     64,396 K
conhost.exe                  33932 Console                    1     10,828 K
MEARWService.exe             31204 Services                   0    175,412 K
VSSVC.exe                    11992 Services                   0     20,704 K
svchost.exe                  32916 Services                   0     15,272 K
WmiPrvSE.exe                  3260 Services                   0     10,048 K
svchost.exe                  21988 Services                   0      8,056 K
WmiPrvSE.exe                 26980 Services                   0     35,284 K
